TM,CA_TOT,SS_DAY
20150101,3.4,7.8
20150102,3.1,7.1
20150103,3.7,5.8
20150104,3.1,6.2
20150105,6.5,5.1
20150106,3.6,7.8
20150107,1.8,7.8
20150108,0.6,8.2
20150109,5,3.1
20150110,0.3,8
20150111,2.1,7.2
20150112,0,8.3
20150113,4.9,6.7
20150114,9,0
20150115,3.8,4.4
20150116,8.4,0
20150117,1,8.6
20150118,5.1,7
20150119,6.6,2.9
20150120,3.6,8.2
20150121,9.1,0
20150122,8.9,0
20150123,4.8,2.3
20150124,5.9,3.8
20150125,9.1,0.2
20150126,9.6,0.6
20150127,3.1,6.9
20150128,2.8,7.5
20150129,9.6,0.3
20150130,4.1,7.5
20150131,0,8.9
20150201,0.1,8.9
20150202,3,6.3
20150203,4.6,7.3
20150204,3.4,4.9
20150205,2.4,7.9
20150206,1.9,8.8
20150207,6.1,3
20150208,2.1,9.2
20150209,3.6,7.9
20150210,4.1,8.8
20150211,4.1,3.6
20150212,0.3,9.5
20150213,0,9.7
20150214,2.1,6.8
20150215,9.3,2.4
20150216,10,0
20150217,9.4,3.3
20150218,8.4,0
20150219,2.5,8.4
20150220,4.5,8
20150221,10,0
20150222,7.4,5.4
20150223,5.3,6.2
20150224,3.1,8.2
20150225,8.4,6.1
20150226,4.3,7.9
20150227,4,9.8
20150228,7.9,0.1
20150301,5.5,5.8
20150302,0,10
20150303,9.1,0.5
20150304,1.1,9.9
20150305,2.6,9.1
20150306,0.5,10
20150307,1,10.2
20150308,2.8,9.3
20150309,4.3,8.7
20150310,1.5,10.4
20150311,3.3,9.1
20150312,2.5,10.7
20150313,4.9,6.9
20150314,2.6,9.1
20150315,2.5,9.9
20150316,2.3,9.4
20150317,6.8,5.5
20150318,9.9,0
20150319,3.3,10.8
20150320,5.8,7.3
20150321,0.9,9.6
20150322,0,9.8
20150323,0,11.1
20150324,0,11.1
20150325,0,11.2
20150326,0,11.5
20150327,1,9.9
20150328,3.6,10.1
20150329,3.9,6.5
20150330,0.4,10.4
20150331,8.6,0
20150401,9.4,0.3
20150402,7.4,8.1
20150403,7.9,1.6
20150404,7.1,5.3
20150405,10,0
20150406,9.4,0
20150407,8.8,4.4
20150408,7.9,4.7
20150409,4,10.2
20150410,0,11.1
20150411,0.5,11.4
20150412,7.4,1.8
20150413,9.8,0.3
20150414,10,0.6
20150415,4.8,8
20150416,2.6,6.1
20150417,1,11.8
20150418,5.9,6.2
20150419,10,0
20150420,7.9,0.8
20150421,3.6,9.3
20150422,3.5,10.5
20150423,3.4,11.1
20150424,2.9,10.6
20150425,0,11.8
20150426,0,11.7
20150427,1.8,11.7
20150428,7.5,5.9
20150429,9.9,0
20150430,4.9,9.5
20150501,2,11.6
20150502,7.3,7.8
20150503,10,0
20150504,2.8,10.9
20150505,0,12.2
20150506,6.9,6.4
20150507,4.5,11.2
20150508,6.8,6.7
20150509,4.8,9.9
20150510,0.4,11.7
20150511,7,4.6
20150512,5.6,11.3
20150513,0.9,12.1
20150514,3.9,11.2
20150515,8.4,1.5
20150516,0.3,12.3
20150517,5.1,11.6
20150518,7.6,5.6
20150519,8,4.1
20150520,0.5,-9
20150521,1.6,12.3
20150522,4.1,11.3
20150523,4,11.8
20150524,0,13
20150525,0,13
20150526,0,12.8
20150527,2.4,13.1
20150528,3.8,11.4
20150529,5.4,10.3
20150530,7,3.4
20150531,6.1,9.3
20150601,5.1,12.4
20150602,7.4,7.1
20150603,3.5,11.5
20150604,4.9,10.3
20150605,6.8,1.6
20150606,2.8,12.8
20150607,3.1,12.4
20150608,8.4,3
20150609,5.1,9.2
20150610,3.4,11.4
20150611,8.5,1
20150612,4.1,11.8
20150613,6,8.9
20150614,7.3,6.2
20150615,7.9,7
20150616,6.8,10.8
20150617,8.1,1.3
20150618,6.6,8.7
20150619,6,9.7
20150620,9.6,0
20150621,5.6,10
20150622,7.1,7.8
20150623,4.8,12.3
20150624,7.7,0.7
20150625,8.9,0.6
20150626,9.6,0.7
20150627,5,11.7
20150628,4,12.5
20150629,6.4,11.2
20150630,9.4,3
20150701,5.6,10.3
20150702,5.3,10.5
20150703,3.4,11.2
20150704,3.8,13.2
20150705,4.4,11.6
20150706,6.9,9.5
20150707,9.8,0
20150708,10,0.1
20150709,10,0.2
20150710,5.6,11.2
20150711,7.6,8.8
20150712,10,0
20150713,9.6,0.6
20150714,5.4,9
20150715,5.6,5.7
20150716,3.8,13.1
20150717,7.9,6.1
20150718,9.8,1.3
20150719,7.9,2.6
20150720,7.4,2.6
20150721,9,3.3
20150722,8.5,5.3
20150723,9.3,1.6
20150724,10,0.1
20150725,9.8,0
20150726,4.4,12.8
20150727,9,1.7
20150728,6.6,7.8
20150729,7.3,3.1
20150730,4.5,8.6
20150731,2.3,10.9
20150801,4.5,12.4
20150802,8.5,5.3
20150803,3.3,12.3
20150804,1.6,12.3
20150805,3,11.5
20150806,2.6,11.1
20150807,2.4,11.5
20150808,4.9,8.2
20150809,7.3,7.3
20150810,8.6,1.1
20150811,9.5,0
20150812,5.4,8.5
20150813,5.3,8.7
20150814,3.3,9.4
20150815,4,9.5
20150816,7,1.3
20150817,3.1,11.6
20150818,6.9,9.2
20150819,9,1.4
20150820,9.9,0.8
20150821,7.6,4.7
20150822,8.6,2.6
20150823,8.1,8.2
20150824,8.6,4.9
20150825,10,0
20150826,6.5,11.1
20150827,6,6.9
20150828,5.6,5.8
20150829,2.9,9.5
20150830,2.8,11.5
20150831,3.8,10.2
20150901,7.4,3.9
20150902,8.5,3.9
20150903,6.4,7.7
20150904,6.3,8.2
20150905,9.6,0.7
20150906,6.1,1.9
20150907,1.5,11.9
20150908,0,11.9
20150909,0,12.1
20150910,0.3,11.9
20150911,6,6.5
20150912,8.5,2
20150913,1.4,11.9
20150914,3.1,10.3
20150915,3.5,11.9
20150916,6.6,6.4
20150917,3.1,8.3
20150918,2.8,10.6
20150919,2.3,10.7
20150920,3.3,9.9
20150921,0.4,10.5
20150922,0,11
20150923,6.6,0.1
20150924,6.1,3.6
20150925,4.4,7.2
20150926,4,5.4
20150927,0,10.9
20150928,3.5,9.2
20150929,2.8,11
20150930,8.4,3.2
20151001,8.5,0
20151002,1.4,11.1
20151003,2.5,9.9
20151004,6.3,7.5
20151005,1.5,10.8
20151006,0,10.8
20151007,5,7.9
20151008,4.1,9.9
20151009,2.6,10.3
20151010,6.3,5.8
20151011,7.3,4.2
20151012,4.1,8.9
20151013,0.9,10.7
20151014,1.1,9.9
20151015,1.9,9.1
20151016,2.6,5.3
20151017,2.5,8.4
20151018,0.3,9.9
20151019,2.6,9.1
20151020,3,5.7
20151021,0,7.4
20151022,1.4,7.9
20151023,4.5,5.6
20151024,5.3,4.6
20151025,1.1,10.1
20151026,7.3,7
20151027,6.6,3.8
20151028,2.4,9.9
20151029,4.5,9.2
20151030,1,9.8
20151031,0.3,9.8
20151101,7.4,1.3
20151102,3.5,8.8
20151103,1.3,9.2
20151104,1.6,9.5
20151105,2.9,7.7
20151106,6.6,6.7
20151107,10,0
20151108,10,0
20151109,9,0.7
20151110,6.4,2.9
20151111,5.6,5
20151112,6.5,6.7
20151113,10,0
20151114,9.6,0
20151115,7.5,2.3
20151116,9.1,1.1
20151117,8,1.9
20151118,9.1,0
20151119,8.1,0
20151120,7.9,1.4
20151121,7.3,1.4
20151122,7.5,4.4
20151123,9.9,0
20151124,9.6,0
20151125,9.9,0
20151126,8.5,2.1
20151127,8.4,1.2
20151128,7.5,1.1
20151129,8.8,0.1
20151130,4.8,5.9
20151201,1.6,8.9
20151202,7.8,0
20151203,8.5,3.2
20151204,8.1,2.5
20151205,7.5,1.5
20151206,5.5,5.2
20151207,4,6.5
20151208,0.8,8.7
20151209,5.4,6.6
20151210,9.8,0
20151211,6,3.1
20151212,3,8.4
20151213,6,5.7
20151214,10,0
20151215,7.9,3.1
20151216,7.1,2.7
20151217,1.9,8.2
20151218,6,2.4
20151219,0.4,8.4
20151220,7,0.3
20151221,7.9,1.9
20151222,8.9,3.8
20151223,8.9,0
20151224,6.8,3
20151225,1.4,8.8
20151226,2.1,7.4
20151227,0,8.8
20151228,2.1,7.9
20151229,3,7.7
20151230,4.3,7.6
20151231,4,4.4
